Geo Code,State,NAME,PRN2010
010072,AL,ANNISTON,"83,830"
010144,AL,AUBURN,"92,591"
010216,AL,BESSEMER,"89,529"
010228,AL,BIRMINGHAM,"2,275,208"
010594,AL,DECATUR,"65,045"
010624,AL,DOTHAN,"68,489"
010810,AL,FLORENCE,"53,014"
010882,AL,GADSDEN,"147,710"
011206,AL,HOOVER,"36,357"
011218,AL,HUNTSVILLE,"164,539"
011542,AL,MOBILE,"1,001,676"
011560,AL,MONTGOMERY,"716,501"
011740,AL,OPELIKA,"32,707"
012268,AL,TUSCALOOSA,"119,060"
019001,AL,Autauga County,"44,061"
019003,AL,Baldwin County,"139,070"
019005,AL,Barbour County,"49,448"
019007,AL,Bibb County,"30,521"
019009,AL,Blount County,"56,718"
019011,AL,Bullock County,"24,908"
019013,AL,Butler County,"39,834"
019015,AL,Calhoun County,"98,428"
019017,AL,Chambers County,"77,525"
019019,AL,Cherokee County,"27,757"
019021,AL,Chilton County,"50,516"
019023,AL,Choctaw County,"24,819"
019025,AL,Clarke County,"40,303"
019027,AL,Clay County,"26,905"
019029,AL,Cleburne County,"19,249"
019031,AL,Coffee County,"50,399"
019033,AL,Colbert County,"69,349"
019035,AL,Conecuh County,"27,804"
019037,AL,Coosa County,"16,374"
019039,AL,Covington County,"64,507"
019041,AL,Crenshaw County,"26,334"
019043,AL,Cullman County,"86,418"
019045,AL,Dale County,"56,749"
019047,AL,Dallas County,"93,051"
019049,AL,DeKalb County,"91,942"
019051,AL,Elmore County,"61,905"
019053,AL,Escambia County,"52,719"
019057,AL,Fayette County,"25,906"
019059,AL,Franklin County,"42,373"
019061,AL,Geneva County,"39,409"
019063,AL,Greene County,"21,622"
019065,AL,Hale County,"30,981"
019067,AL,Henry County,"24,659"
019069,AL,Houston County,"35,427"
019071,AL,Jackson County,"65,248"
019073,AL,JEFFERSON COUNTY,"702,209"
019075,AL,Lamar County,"23,705"
019077,AL,Lauderdale County,"50,571"
019079,AL,Lawrence County,"38,407"
019081,AL,Lee County,"46,565"
019083,AL,Limestone County,"68,863"
019085,AL,Lowndes County,"27,942"
019087,AL,Macon County,"47,299"
019089,AL,Madison County,"91,636"
019091,AL,Marengo County,"41,045"
019093,AL,Marion County,"35,669"
019095,AL,Marshall County,"95,614"
019097,AL,MOBILE COUNTY,"488,497"
019099,AL,Monroe County,"36,397"
019101,AL,Montgomery County,"22,533"
019103,AL,Morgan County,"52,469"
019105,AL,Perry County,"26,706"
019107,AL,Pickens County,"36,222"
019109,AL,Pike County,"47,795"
019111,AL,Randolph County,"39,858"
019113,AL,Russell County,"74,327"
019115,AL,St. Clair County,"69,415"
019117,AL,Shelby County,"101,948"
019119,AL,Sumter County,"35,469"
019121,AL,Talladega County,"107,051"
019123,AL,Tallapoosa County,"65,285"
019125,AL,Tuscaloosa County,"90,479"
019127,AL,Walker County,"94,525"
019129,AL,Washington County,"24,567"
019131,AL,Wilcox County,"33,528"
019133,AL,Winston County,"30,434"
020078,AK,ANCHORAGE,"645,076"
029013,AK,Aleutians East Boro,"2,832"
029016,AK,Aleutians West Cens,"5,192"
029050,AK,Bethel Census Area,"23,627"
029060,AK,Bristol Bay Borough,"2,014"
029068,AK,Denali Borough,"1,163"
029070,AK,Dillingham Census A,"6,513"
029090,AK,Fairbanks North Sta,"51,600"
029100,AK,Haines Borough,"4,222"
029110,AK,Juneau City and Bor,"38,129"
029122,AK,Kenai Peninsula Bor,"35,125"
029130,AK,Ketchikan Gateway B,"26,875"
029150,AK,Kodiak Island Borou,"8,649"
029164,AK,Lake and Peninsula,"2,130"
029170,AK,Matanuska‐Susitna B,"47,658"
029180,AK,Nome Census Area,"11,874"
029185,AK,North Slope Borough,"6,536"
029188,AK,Northwest Arctic Bo,"9,578"
029201,AK,Prince of Wales‐Out,"6,089"
029220,AK,Sitka City and Boro,"9,771"
029232,AK,Skagway‐Hoonah‐Ango,"8,042"
029240,AK,Southeast Fairbanks,"6,786"
029261,AK,Valdez‐Cordova Cens,"10,988"
029270,AK,Wade Hampton Census,"12,773"
029280,AK,Wrangell‐Petersburg,"15,167"
029282,AK,Yakutat City and Bo,893
029290,AK,Yukon‐Koyukuk Censu,"9,904"
040018,AZ,AVONDALE CITY,"63,862"
040072,AZ,CHANDLER,"179,196"
040144,AZ,FLAGSTAFF,"78,757"
040180,AZ,GILBERT,"89,346"
040186,AZ,GLENDALE,"764,080"
040270,AZ,MESA,"1,170,426"
040324,AZ,PEORIA CITY,"85,461"
040330,AZ,PHOENIX,"5,841,951"
040348,AZ,PRESCOTT,"37,455"
040384,AZ,SCOTTSDALE,"148,911"
040456,AZ,SURPRISE TOWN,"47,431"
040468,AZ,TEMPE,"205,684"
040492,AZ,TUCSON,"2,110,695"
040558,AZ,YUMA,"118,921"
049001,AZ,Apache County,"153,966"
049003,AZ,Cochise County,"236,989"
049005,AZ,Coconino County,"84,566"
049007,AZ,Gila County,"100,481"
049009,AZ,Graham County,"55,687"
049011,AZ,Greenlee County,"17,105"
049012,AZ,La Paz County,"22,244"
049013,AZ,MARICOPA COUNTY,"757,093"
049015,AZ,Mohave County,"151,901"
049017,AZ,Navajo County,"166,755"
049019,AZ,PIMA COUNTY,"914,823"
049021,AZ,Pinal County,"213,456"
049023,AZ,Santa Cruz County,"66,548"
049025,AZ,Yavapai County,"142,019"
049027,AZ,Yuma County,"127,001"
050228,AR,BENTONVILLE,"23,808"
050600,AR,CONWAY,"54,038"
050894,AR,FAYETTEVILLE,"82,604"
050930,AR,FORT SMITH,"105,815"
051302,AR,HOT SPRINGS,"50,258"
051374,AR,JACKSONVILLE,"34,741"
051410,AR,JONESBORO,"70,742"
051560,AR,LITTLE ROCK,"568,794"
051938,AR,NORTH LITTLE ROCK,"96,420"
052130,AR,PINE BLUFF,"92,577"
052304,AR,ROGERS,"53,768"
052466,AR,SPRINGDALE,"66,433"
052556,AR,TEXARKANA,"40,378"
052754,AR,WEST MEMPHIS,"53,415"
059001,AR,Arkansas County,"34,584"
059003,AR,Ashley County,"30,159"
059005,AR,Baxter County,"34,447"
059007,AR,Benton County,"102,113"
059009,AR,Boone County,"45,528"
059011,AR,Bradley County,"24,512"
059013,AR,Calhoun County,"7,862"
059015,AR,Carroll County,"43,502"
059017,AR,Chicot County,"24,919"
059019,AR,Clark County,"35,268"
059021,AR,Clay County,"32,161"
059023,AR,Cleburne County,"25,050"
059025,AR,Cleveland County,"9,838"
059027,AR,Columbia County,"34,685"
059029,AR,Conway County,"28,499"
059031,AR,Craighead County,"26,977"
059033,AR,Crawford County,"71,034"
059035,AR,Crittenden County,"35,950"
059037,AR,Cross County,"28,938"
059039,AR,Dallas County,"13,510"
059041,AR,Desha County,"27,524"
059043,AR,Drew County,"24,784"
059045,AR,Faulkner County,"38,881"
059047,AR,Franklin County,"26,499"
059049,AR,Fulton County,"16,923"
059051,AR,Garland County,"49,921"
059053,AR,Grant County,"17,397"
059055,AR,Greene County,"42,476"
059057,AR,Hempstead County,"36,644"
059059,AR,Hot Spring County,"35,460"
059061,AR,Howard County,"20,234"
059063,AR,Independence County,"39,209"
059065,AR,Izard County,"17,299"
059067,AR,Jackson County,"20,433"
059069,AR,Jefferson County,"27,031"
059071,AR,Johnson County,"35,225"
059073,AR,Lafayette County,"13,779"
059075,AR,Lawrence County,"25,838"
059077,AR,Lee County,"19,827"
059079,AR,Lincoln County,"17,306"
059081,AR,Little River County,"16,444"
059083,AR,Logan County,"41,687"
059085,AR,Lonoke County,"51,738"
059087,AR,Madison County,"24,800"
059089,AR,Marion County,"19,636"
059091,AR,Miller County,"14,689"
059093,AR,Mississippi County,"83,414"
059095,AR,Monroe County,"18,337"
059097,AR,Montgomery County,"12,863"
059099,AR,Nevada County,"14,549"
059101,AR,Newton County,"14,360"
059103,AR,Ouachita County,"38,259"
059105,AR,Perry County,"11,637"
059107,AR,Phillips County,"54,867"
059109,AR,Pike County,"14,736"
059111,AR,Poinsett County,"35,424"
059113,AR,Polk County,"30,415"
059115,AR,Pope County,"62,593"
059117,AR,Prairie County,"17,467"
059119,AR,Pulaski County,"78,697"
059121,AR,Randolph County,"21,969"
059123,AR,St. Francis County,"47,990"
059125,AR,Saline County,"70,531"
059127,AR,Scott County,"17,289"
059129,AR,Searcy County,"18,069"
059131,AR,Sebastian County,"32,968"
059133,AR,Sevier County,"28,208"
059135,AR,Sharp County,"21,898"
059137,AR,Stone County,"14,907"
059139,AR,Union County,"69,741"
059141,AR,Van Buren County,"19,587"
059143,AR,Washington County,"67,599"
059145,AR,White County,"73,836"
059147,AR,Woodruff County,"14,223"
059149,AR,Yell County,"29,174"
060012,CA,ALAMEDA,"173,045"
060030,CA,ALHAMBRA,"175,280"
060078,CA,ANAHEIM,"1,700,485"
060102,CA,ANTIOCH,"92,060"
060108,CA,APPLE VALLEY,"81,376"
060228,CA,BAKERSFIELD,"1,145,658"
060234,CA,BALDWIN PARK,"187,006"
060288,CA,BELLFLOWER,"150,652"
060324,CA,BERKELEY,"1,113,472"
060450,CA,BUENA PARK,"128,644"
060456,CA,BURBANK,"148,014"
060516,CA,CAMARILLO,"45,515"
060564,CA,CARLSBAD,"64,662"
060594,CA,CARSON,"139,234"
060654,CA,CERRITOS,"48,625"
060684,CA,CHICO,"121,517"
060708,CA,CHINO,"79,905"
060709,CA,CHINO HILLS,"54,009"
060720,CA,CHULA VISTA,"684,338"
060726,CA,CITRUS HEIGHTS,"81,822"
060756,CA,CLOVIS CITY,"81,917"
060804,CA,COMPTON,"704,615"
060810,CA,CONCORD,"129,890"
060828,CA,CORONA,"152,914"
060846,CA,COSTA MESA,"173,030"
060906,CA,CUPERTINO CITY,"49,694"
060930,CA,DALY CITY,"157,709"
060942,CA,DAVIS,"102,849"
060960,CA,DELANO CITY,"105,261"
061032,CA,DOWNEY,"188,893"
061116,CA,EL CAJON,"158,793"
061122,CA,EL CENTRO,"85,272"
061146,CA,ELK GROVE,"63,653"
061152,CA,EL MONTE,"922,773"
061212,CA,ENCINITAS,"51,052"
061230,CA,ESCONDIDO,"220,284"
061266,CA,FAIRFIELD,"104,517"
061332,CA,FONTANA,"713,345"
061380,CA,FOUNTAIN VALLEY,"44,726"
061404,CA,FREMONT,"210,748"
061410,CA,FRESNO,"2,605,372"
061416,CA,FULLERTON,"192,317"
061428,CA,GARDENA,"116,819"
061440,CA,GARDEN GROVE,"887,841"
061452,CA,GILROY CITY,"62,547"
061464,CA,GLENDALE,"1,117,812"
061470,CA,GLENDORA CITY,"42,689"
061476,CA,GOLETA,"34,221"
061566,CA,HANFORD,"68,729"
061596,CA,HAWTHORNE,"217,344"
061602,CA,HAYWARD,"217,605"
061614,CA,HEMET,"89,359"
061638,CA,HESPERIA,"93,960"
061692,CA,HUNTINGTON BEACH,"174,589"
061698,CA,HUNTINGTON PARK,"544,939"
061728,CA,INDIO CITY,"121,778"
061740,CA,INGLEWOOD,"762,408"
061750,CA,IRVINE,"168,981"
061854,CA,LAGUNA NIGUEL,"42,874"
061860,CA,LA HABRA,"103,368"
061869,CA,LAKE FOREST,"61,195"
061890,CA,LAKEWOOD,"91,739"
061896,CA,LA MESA,"55,859"
061914,CA,LANCASTER,"175,328"
062034,CA,LIVERMORE,"58,331"
062046,CA,LODI,"95,492"
062088,CA,LONG BEACH,"2,960,684"
062118,CA,LOS ANGELES,"24,470,738"
062148,CA,LYNWOOD,"199,903"
062166,CA,MADERA,"123,327"
062250,CA,MERCED,"159,554"
062274,CA,MILPITAS CITY,"75,013"
062286,CA,MISSION VIEJO,"62,578"
062292,CA,MODESTO,"801,294"
062328,CA,MONTEBELLO,"133,358"
062334,CA,MONTEREY,"33,494"
062340,CA,MONTEREY PARK,"123,256"
062367,CA,MORENO VALLEY,"228,039"
062382,CA,MOUNTAIN VIEW,"87,012"
062406,CA,NAPA CITY,"86,649"
062412,CA,NATIONAL CITY,"139,796"
062454,CA,NEWPORT BEACH,"45,426"
062490,CA,NORWALK,"195,632"
062508,CA,OAKLAND,"2,874,339"
062532,CA,OCEANSIDE,"619,182"
062556,CA,ONTARIO,"827,543"
062568,CA,ORANGE,"168,460"
062622,CA,OXNARD,"935,271"
062658,CA,PALMDALE,"190,896"
062670,CA,PALM DESERT,"44,948"
062676,CA,PALM SPRINGS,"64,230"
062682,CA,PALO ALTO,"87,187"
062700,CA,PARADISE,"28,223"
062706,CA,PARAMOUNT CITY,"153,114"
062724,CA,PASADENA,"767,367"
062754,CA,PERRIS CITY,"81,618"
062760,CA,PETALUMA,"43,941"
062766,CA,PICO RIVERA,"115,271"
062790,CA,PITTSBURG,"82,270"
062826,CA,PLEASANTON CITY,"35,207"
062850,CA,POMONA,"967,162"
062862,CA,PORTERVILLE,"102,033"
062928,CA,RANCHO CORDOVA CIT,"87,968"
062930,CA,RANCHO CUCAMONGA,"129,782"
062949,CA,RANCHO SANTA MARG,"31,482"
062958,CA,REDDING,"105,990"
062964,CA,REDLANDS,"72,433"
062970,CA,REDONDO BEACH,"52,041"
062976,CA,REDWOOD CITY,"92,082"
062988,CA,RIALTO,"168,818"
063000,CA,RICHMOND,"172,940"
063048,CA,RIVERSIDE,"1,149,629"
063054,CA,ROCKLIN CITY,"25,826"
063102,CA,ROSEMEAD,"145,062"
063108,CA,ROSEVILLE,"65,319"
063144,CA,SACRAMENTO,"1,978,543"
063162,CA,SALINAS,"841,816"
063180,CA,SAN BERNARDINO,"1,230,244"
063198,CA,SAN CLEMENTE,"50,664"
063210,CA,SAN DIEGO,"5,132,436"
063228,CA,SAN FRANCISCO,"7,049,539"
063258,CA,SAN JOSE,"3,438,704"
063276,CA,SAN LEANDRO,"92,463"
063294,CA,SAN MARCOS CITY,"89,119"
063312,CA,SAN MATEO,"100,227"
063342,CA,SANTA ANA,"2,354,401"
063348,CA,SANTA BARBARA,"136,939"
063354,CA,SANTA CLARA,"137,744"
063356,CA,SANTA CLARITA,"143,920"
063360,CA,SANTA CRUZ,"77,395"
063372,CA,SANTA MARIA,"161,701"
063384,CA,SANTA MONICA,"174,406"
063396,CA,SANTA ROSA,"159,616"
063408,CA,SANTEE,"40,144"
063444,CA,SEASIDE,"51,784"
063480,CA,SIMI VALLEY,"92,048"
063528,CA,SOUTH GATE,"718,510"
063564,CA,SOUTH SAN FRANCISCO,"76,499"
063624,CA,STOCKTON,"1,432,056"
063660,CA,SUNNYVALE,"157,259"
