GEO CODE,STATE,JURISDICTION NAME,PPRN FY2012
10072,AL,ANNISTON,"$118,671 "
10144,AL,AUBURN,"$131,332 "
10216,AL,BESSEMER,"$126,210 "
10228,AL,BIRMINGHAM,"$3,220,522 "
10594,AL,DECATUR,"$91,451 "
10624,AL,DOTHAN,"$96,762 "
10810,AL,FLORENCE,"$74,535 "
10882,AL,GADSDEN,"$208,740 "
11206,AL,HOOVER,"$51,866 "
11218,AL,HUNTSVILLE,"$233,635 "
11542,AL,MOBILE,"$1,394,623 "
11560,AL,MONTGOMERY,"$1,007,124 "
11740,AL,OPELIKA,"$46,774 "
12268,AL,TUSCALOOSA,"$168,715 "
19001,AL,Autauga County,"$61,450 "
19003,AL,Baldwin County,"$196,008 "
19005,AL,Barbour County,"$69,491 "
19007,AL,Bibb County,"$42,483 "
19009,AL,Blount County,"$79,421 "
19011,AL,Bullock County,"$34,756 "
19013,AL,Butler County,"$55,407 "
19015,AL,Calhoun County,"$137,187 "
19017,AL,Chambers County,"$107,834 "
19019,AL,Cherokee County,"$38,560 "
19021,AL,Chilton County,"$70,459 "
19023,AL,Choctaw County,"$34,462 "
19025,AL,Clarke County,"$55,879 "
19027,AL,Clay County,"$37,416 "
19029,AL,Cleburne County,"$26,795 "
19031,AL,Coffee County,"$70,713 "
19033,AL,Colbert County,"$96,477 "
19035,AL,Conecuh County,"$38,649 "
19037,AL,Coosa County,"$22,692 "
19039,AL,Covington County,"$89,698 "
19041,AL,Crenshaw County,"$36,658 "
19043,AL,Cullman County,"$120,515 "
19045,AL,Dale County,"$78,825 "
19047,AL,Dallas County,"$129,089 "
19049,AL,DeKalb County,"$128,329 "
19051,AL,Elmore County,"$86,514 "
19053,AL,Escambia County,"$73,239 "
19055,AL,Etowah County,"$89,148 "
19057,AL,Fayette County,"$35,964 "
19059,AL,Franklin County,"$59,165 "
19061,AL,Geneva County,"$54,923 "
19063,AL,Greene County,"$29,962 "
19065,AL,Hale County,"$43,049 "
19067,AL,Henry County,"$34,322 "
19069,AL,Houston County,"$49,567 "
19071,AL,Jackson County,"$90,691 "
19073,AL,JEFFERSON COUNTY,"$989,758 "
19075,AL,Lamar County,"$32,919 "
19077,AL,Lauderdale County,"$70,397 "
19079,AL,Lawrence County,"$53,310 "
19081,AL,Lee County,"$64,738 "
19083,AL,Limestone County,"$97,105 "
19085,AL,Lowndes County,"$38,746 "
19087,AL,Macon County,"$65,630 "
19089,AL,Madison County,"$129,753 "
19091,AL,Marengo County,"$56,994 "
19093,AL,Marion County,"$49,464 "
19095,AL,Marshall County,"$133,876 "
19097,AL,MOBILE COUNTY,"$958,150 "
19099,AL,Monroe County,"$50,484 "
19101,AL,Montgomery County,"$31,405 "
19103,AL,Morgan County,"$73,427 "
19105,AL,Perry County,"$37,196 "
19107,AL,Pickens County,"$50,238 "
19109,AL,Pike County,"$66,686 "
19111,AL,Randolph County,"$55,534 "
19113,AL,Russell County,"$103,620 "
19115,AL,St. Clair County,"$97,806 "
19117,AL,Shelby County,"$144,641 "
19119,AL,Sumter County,"$49,220 "
19121,AL,Talladega County,"$148,921 "
19123,AL,Tallapoosa County,"$90,945 "
19125,AL,Tuscaloosa County,"$126,302 "
19127,AL,Walker County,"$131,486 "
19129,AL,Washington County,"$34,100 "
19131,AL,Wilcox County,"$46,539 "
19133,AL,Winston County,"$42,206 "
20078,AK,ANCHORAGE,"$913,353 "
29013,AK,Aleutians East Borough,"$4,070 "
29016,AK,Aleutians West Census Ar,"$7,411 "
29050,AK,Bethel Census Area,"$33,859 "
29060,AK,Bristol Bay Borough,"$2,870 "
29068,AK,Denali Borough,"$1,666 "
29070,AK,Dillingham Census Area,"$9,311 "
29090,AK,Fairbanks North Star Bor,"$73,814 "
29100,AK,Haines Borough,"$6,088 "
29105,AK,Hoonah-Angoon Census Are,"$6,395 "
29110,AK,Juneau City and Borough,"$54,746 "
29122,AK,Kenai Peninsula Borough,"$50,516 "
29130,AK,Ketchikan Gateway Boroug,"$38,576 "
29150,AK,Kodiak Island Borough,"$12,429 "
29164,AK,Lake and Peninsula Borou,"$3,035 "
29170,AK,Matanuska-Susitna Boroug,"$69,383 "
29180,AK,Nome Census Area,"$17,012 "
29185,AK,North Slope Borough,"$9,393 "
29188,AK,Northwest Arctic Borough,"$13,704 "
29195,AK,Petersburg Census Area,"$13,381 "
29198,AK,Prince of Wales-Hyder Ce,"$8,377 "
29220,AK,Sitka City and Borough,"$13,990 "
29230,AK,Skagway Municipality,"$5,162 "
29240,AK,Southeast Fairbanks Cens,"$9,716 "
29261,AK,Valdez-Cordova Census Ar,"$15,728 "
29270,AK,Wade Hampton Census Area,"$18,320 "
29275,AK,Wrangell City and Boroug,"$7,593 "
29282,AK,Yakutat City and Borough,"$1,280 "
29290,AK,Yukon-Koyukuk Census Are,"$14,132 "
40018,AZ,AVONDALE CITY,"$91,423 "
40072,AZ,CHANDLER,"$251,742 "
40144,AZ,FLAGSTAFF,"$110,819 "
40180,AZ,GILBERT,"$129,807 "
40186,AZ,GLENDALE,"$1,075,608 "
40270,AZ,MESA,"$1,660,879 "
40324,AZ,PEORIA CITY,"$125,564 "
40330,AZ,PHOENIX,"$8,274,457 "
40348,AZ,PRESCOTT,"$52,618 "
40384,AZ,SCOTTSDALE,"$208,764 "
40456,AZ,SURPRISE CITY,"$67,841 "
40468,AZ,TEMPE,"$290,108 "
40492,AZ,TUCSON,"$2,993,684 "
40558,AZ,YUMA,"$167,786 "
49001,AZ,Apache County,"$219,438 "
49003,AZ,Cochise County,"$337,980 "
49005,AZ,Coconino County,"$120,497 "
49007,AZ,Gila County,"$143,190 "
49009,AZ,Graham County,"$79,881 "
49011,AZ,Greenlee County,"$24,458 "
49012,AZ,La Paz County,"$31,465 "
49013,AZ,MARICOPA COUNTY,"$1,101,176 "
49015,AZ,Mohave County,"$214,339 "
