Geo_Code,STA,NAME,2014 PPRN
010072,AL,Anniston,"$130,836"
010144,AL,Auburn,"$125,456"
010216,AL,Bessemer,"$125,845"
010228,AL,Birmingham,"$3,858,903"
010594,AL,Decatur,"$105,351"
010624,AL,Dothan,"$111,855"
010810,AL,Florence,"$81,567"
010882,AL,Gadsden,"$215,610"
011206,AL,Hoover,"$68,628"
011218,AL,Huntsville,"$273,883"
011542,AL,Mobile,"$1,497,356"
011560,AL,Montgomery,"$1,079,991"
011740,AL,Opelika,"$57,542"
012268,AL,Tuscaloosa,"$217,245"
019001,AL,Autauga County,"$65,932"
019003,AL,Baldwin County,"$273,396"
019005,AL,Barbour County,"$66,246"
019007,AL,Bibb County,"$39,888"
019009,AL,Blount County,"$93,609"
019011,AL,Bullock County,"$30,055"
019013,AL,Butler County,"$50,880"
019015,AL,Calhoun County,"$152,936"
019017,AL,Chambers County,"$111,486"
019019,AL,Cherokee County,"$53,019"
019021,AL,Chilton County,"$77,781"
019023,AL,Choctaw County,"$36,636"
019025,AL,Clarke County,"$69,148"
019027,AL,Clay County,"$38,459"
019029,AL,Cleburne County,"$27,604"
019031,AL,Coffee County,"$78,361"
019033,AL,Colbert County,"$95,547"
019035,AL,Conecuh County,"$40,183"
019037,AL,Coosa County,"$36,219"
019039,AL,Covington County,"$101,909"
019041,AL,Crenshaw County,"$36,114"
019043,AL,Cullman County,"$162,672"
019045,AL,Dale County,"$69,295"
019047,AL,Dallas County,"$139,305"
019049,AL,Dekalb County,"$177,947"
019051,AL,Elmore County,"$121,035"
019053,AL,Escambia County,"$73,287"
019055,AL,Etowah County,"$97,186"
019057,AL,Fayette County,"$43,387"
019059,AL,Franklin County,"$62,443"
019061,AL,Geneva County,"$62,919"
019063,AL,Greene County,"$28,819"
019065,AL,Hale County,"$46,659"
019067,AL,Henry County,"$39,304"
019069,AL,Houston County,"$54,686"
019071,AL,Jackson County,"$98,167"
019073,AL,Jefferson County,"$1,143,224"
019075,AL,Lamar County,"$35,036"
019077,AL,Lauderdale County,"$79,559"
019079,AL,Lawrence County,"$49,075"
019081,AL,Lee County,"$83,007"
019083,AL,Limestone County,"$116,115"
019085,AL,Lowndes County,"$34,070"
019087,AL,Macon County,"$47,587"
019089,AL,Madison County,"$156,472"
019091,AL,Marengo County,"$56,621"
019093,AL,Marion County,"$56,631"
019095,AL,Marshall County,"$199,461"
019097,AL,Mobile County,"$1,128,880"
019099,AL,Monroe County,"$54,482"
019101,AL,Montgomery County,"$32,021"
019103,AL,Morgan County,"$94,483"
019105,AL,Perry County,"$33,015"
019107,AL,Pickens County,"$45,565"
019109,AL,Pike County,"$83,029"
019111,AL,Randolph County,"$60,600"
019113,AL,Russell County,"$109,701"
019115,AL,St. Clair County,"$101,206"
019117,AL,Shelby County,"$176,164"
019119,AL,Sumter County,"$46,890"
019121,AL,Talladega County,"$163,967"
019123,AL,Tallapoosa County,"$96,808"
019125,AL,Tuscaloosa County,"$129,351"
019127,AL,Walker County,"$154,510"
019129,AL,Washington County,"$36,769"
019131,AL,Wilcox County,"$44,062"
019133,AL,Winston County,"$49,871"
020078,AK,Anchorage,"$1,192,319"
029013,AK,Aleutians East Borough,"$2,451"
029016,AK,Aleutians West Census Ar,"$8,678"
029050,AK,Bethel Census Area,"$34,836"
029060,AK,Bristol Bay Borough,"$1,822"
029068,AK,Denali Borough,"$3,469"
029070,AK,Dillingham Census Area,"$8,795"
029090,AK,Fairbanks North Star Bor,"$77,006"
029100,AK,Haines Borough,"$3,315"
029105,AK,Hoonah‐Angoon Census Are,"$6,667"
029110,AK,Juneau City And Borough,"$51,610"
029122,AK,Kenai Peninsula Borough,"$47,226"
029130,AK,Ketchikan Gateway Boroug,"$44,353"
029150,AK,Kodiak Island Borough,"$15,639"
029164,AK,Lake And Peninsula Borou,"$2,573"
029170,AK,Matanuska‐Susitna Boroug,"$77,574"
029180,AK,Nome Census Area,"$19,502"
029185,AK,North Slope Borough,"$13,425"
029188,AK,Northwest Arctic Borough,"$15,663"
029195,AK,Petersburg Census Area,"$13,149"
029198,AK,Prince Of Wales‐Hyder Ce,"$13,554"
029220,AK,Sitka City And Borough,"$11,811"
029230,AK,Skagway Municipality,"$5,465"
029240,AK,Southeast Fairbanks Cens,"$7,557"
029261,AK,Valdez‐Cordova Census Ar,"$13,211"
029270,AK,Wade Hampton Census Area,"$22,442"
029275,AK,Wrangell City And Boroug,"$7,363"
029282,AK,Yakutat City And Borough,$426
029290,AK,Yukon‐Koyukuk Census Are,"$11,760"
040018,AZ,Avondale City,"$153,313"
040072,AZ,Chandler,"$312,885"
040144,AZ,Flagstaff,"$135,252"
040180,AZ,Gilbert,"$190,105"
040186,AZ,Glendale,"$1,450,793"
040270,AZ,Mesa,"$2,211,782"
040324,AZ,Peoria City,"$169,475"
040330,AZ,Phoenix,"$10,361,163"
040348,AZ,Prescott,"$56,618"
040384,AZ,Scottsdale,"$239,362"
040456,AZ,Surprise City,"$114,073"
040468,AZ,Tempe,"$339,860"
040492,AZ,Tucson,"$3,554,417"
040558,AZ,Yuma,"$215,215"
049001,AZ,Apache County,"$182,584"
049003,AZ,Cochise County,"$360,350"
049005,AZ,Coconino County,"$115,091"
049007,AZ,Gila County,"$159,789"
049009,AZ,Graham County,"$81,860"
049011,AZ,Greenlee County,"$36,558"
049012,AZ,La Paz County,"$40,936"
049013,AZ,Maricopa County,"$1,565,811"
049015,AZ,Mohave County,"$238,843"
049017,AZ,Navajo County,"$224,344"
049019,AZ,Pima County,"$1,686,209"
049021,AZ,Pinal County,"$360,864"
049023,AZ,Santa Cruz County,"$85,716"
049025,AZ,Yavapai County,"$188,284"
049027,AZ,Yuma County,"$187,624"
050228,AR,Bentonville,"$43,905"
050600,AR,Conway,"$106,404"
050894,AR,Fayetteville,"$137,223"
050930,AR,Fort Smith,"$196,305"
051302,AR,Hot Springs,"$84,829"
051374,AR,Jacksonville,"$53,794"
051410,AR,Jonesboro,"$132,935"
051560,AR,Little Rock,"$930,773"
051938,AR,North Little Rock,"$147,101"
052130,AR,Pine Bluff,"$137,064"
052304,AR,Rogers,"$101,829"
052466,AR,Springdale,"$175,355"
052556,AR,Texarkana,"$58,306"
052754,AR,West Memphis,"$88,020"
059001,AR,Arkansas County,"$47,644"
059003,AR,Ashley County,"$45,738"
059005,AR,Baxter County,"$64,749"
059007,AR,Benton County,"$178,990"
059009,AR,Boone County,"$84,083"
059011,AR,Bradley County,"$47,973"
059013,AR,Calhoun County,"$14,174"
059015,AR,Carroll County,"$82,204"
059017,AR,Chicot County,"$42,961"
059019,AR,Clark County,"$63,958"
059021,AR,Clay County,"$37,698"
059023,AR,Cleburne County,"$48,679"
059025,AR,Cleveland County,"$15,836"
059027,AR,Columbia County,"$56,709"
