Geo Code,Jurisdiction,State,FY 2015 PPRN
010072,Anniston,AL,"$131,523"
010144,Auburn,AL,"$113,690"
010216,Bessemer,AL,"$123,877"
010228,Birmingham,AL,"$3,678,943"
010594,Decatur,AL,"$105,037"
010624,Dothan,AL,"$111,437"
010810,Florence,AL,"$83,238"
010882,Gadsden,AL,"$224,809"
011206,Hoover,AL,"$75,604"
011218,Huntsville,AL,"$291,851"
011542,Mobile,AL,"$1,499,973"
011560,Montgomery,AL,"$1,092,396"
011740,Opelika,AL,"$51,706"
012268,Tuscaloosa,AL,"$207,324"
019001,Autauga County,AL,"$77,461"
019003,Baldwin County,AL,"$275,806"
019005,Barbour County,AL,"$62,098"
019007,Bibb County,AL,"$49,700"
019009,Blount County,AL,"$98,925"
019011,Bullock County,AL,"$28,106"
019013,Butler County,AL,"$55,191"
019015,Calhoun County,AL,"$163,837"
019017,Chambers County,AL,"$116,496"
019019,Cherokee County,AL,"$65,499"
019021,Chilton County,AL,"$85,747"
019023,Choctaw County,AL,"$36,919"
019025,Clarke County,AL,"$78,838"
019027,Clay County,AL,"$42,591"
019029,Cleburne County,AL,"$35,255"
019031,Coffee County,AL,"$82,457"
019033,Colbert County,AL,"$104,533"
019035,Conecuh County,AL,"$48,335"
019037,Coosa County,AL,"$33,514"
019039,Covington County,AL,"$101,995"
019041,Crenshaw County,AL,"$35,201"
019043,Cullman County,AL,"$170,804"
019045,Dale County,AL,"$77,762"
019047,Dallas County,AL,"$155,945"
019049,Dekalb County,AL,"$177,833"
019051,Elmore County,AL,"$120,352"
019053,Escambia County,AL,"$69,956"
019055,Etowah County,AL,"$94,361"
019057,Fayette County,AL,"$40,391"
019059,Franklin County,AL,"$70,922"
019061,Geneva County,AL,"$70,150"
019063,Greene County,AL,"$27,778"
019065,Hale County,AL,"$37,070"
019067,Henry County,AL,"$36,315"
019069,Houston County,AL,"$58,146"
019071,Jackson County,AL,"$103,839"
019073,Jefferson County,AL,"$1,175,655"
019075,Lamar County,AL,"$31,367"
019077,Lauderdale County,AL,"$82,187"
019079,Lawrence County,AL,"$49,766"
019081,Lee County,AL,"$99,736"
019083,Limestone County,AL,"$134,348"
019085,Lowndes County,AL,"$33,376"
019087,Macon County,AL,"$47,811"
019089,Madison County,AL,"$170,594"
019091,Marengo County,AL,"$51,693"
019093,Marion County,AL,"$62,806"
019095,Marshall County,AL,"$201,120"
019097,Mobile County,AL,"$1,061,662"
019099,Monroe County,AL,"$55,250"
019101,Montgomery County,AL,"$32,466"
019103,Morgan County,AL,"$93,054"
019105,Perry County,AL,"$36,830"
019107,Pickens County,AL,"$48,444"
019109,Pike County,AL,"$73,181"
019111,Randolph County,AL,"$66,276"
019113,Russell County,AL,"$113,693"
019115,St. Clair County,AL,"$130,204"
019117,Shelby County,AL,"$205,275"
019119,Sumter County,AL,"$43,822"
019121,Talladega County,AL,"$169,444"
019123,Tallapoosa County,AL,"$94,173"
019125,Tuscaloosa County,AL,"$151,205"
019127,Walker County,AL,"$137,667"
019129,Washington County,AL,"$33,023"
019131,Wilcox County,AL,"$34,710"
019133,Winston County,AL,"$55,309"
020078,Anchorage,AK,"$1,138,309"
029013,Aleutians East Borough,AK,"$4,373"
029016,Aleutians West Census Area,AK,"$11,610"
029050,Bethel Census Area,AK,"$39,982"
029060,Bristol Bay Borough,AK,"$1,489"
029068,Denali Borough,AK,"$4,312"
029070,Dillingham Census Area,AK,"$9,375"
029090,Fairbanks North Star Borough,AK,"$86,005"
029100,Haines Borough,AK,"$3,919"
029105,Hoonah-Angoon Census Area,AK,"$9,833"
029110,Juneau City And Borough,AK,"$63,058"
029122,Kenai Peninsula Borough,AK,"$51,926"
029130,Ketchikan Gateway Borough,AK,"$41,050"
029150,Kodiak Island Borough,AK,"$16,570"
029164,Lake And Peninsula Borough,AK,"$3,045"
029170,Matanuska-Susitna Borough,AK,"$90,729"
029180,Nome Census Area,AK,"$22,268"
029185,North Slope Borough,AK,"$12,536"
029188,Northwest Arctic Borough,AK,"$17,949"
029195,Petersburg Census Area,AK,"$11,155"
029198,Prince Of Wales-Hyder Census Area,AK,"$13,711"
029220,Sitka City And Borough,AK,"$13,026"
029230,Skagway Municipality,AK,"$4,712"
029240,Southeast Fairbanks Census Area,AK,"$8,356"
029261,Valdez-Cordova Census Area,AK,"$15,434"
029270,Wade Hampton Census Area,AK,"$24,159"
029275,Wrangell City And Borough,AK,"$8,963"
029282,Yakutat City And Borough,AK,$640
029290,Yukon-Koyukuk Census Area,AK,"$11,922"
040018,Avondale City,AZ,"$149,834"
040072,Chandler,AZ,"$296,468"
040114,Douglas City,AZ,"$47,691"
040144,Flagstaff,AZ,"$142,113"
040180,Gilbert,AZ,"$202,769"
040186,Glendale,AZ,"$1,400,409"
040270,Mesa,AZ,"$2,135,742"
040324,Peoria City,AZ,"$173,188"
040330,Phoenix,AZ,"$9,857,576"
040348,Prescott,AZ,"$59,404"
040384,Scottsdale,AZ,"$222,793"
040408,Sierra Vista City,AZ,"$51,358"
040456,Surprise City,AZ,"$134,896"
040468,Tempe,AZ,"$343,705"
040492,Tucson,AZ,"$3,442,212"
040558,Yuma,AZ,"$216,136"
049001,Apache County,AZ,"$178,217"
049003,Cochise County,AZ,"$234,579"
049005,Coconino County,AZ,"$118,569"
049007,Gila County,AZ,"$162,223"
049009,Graham County,AZ,"$87,760"
049011,Greenlee County,AZ,"$36,488"
049012,La Paz County,AZ,"$42,456"
049013,Maricopa County,AZ,"$1,782,659"
049015,Mohave County,AZ,"$255,027"
049017,Navajo County,AZ,"$223,077"
049019,Pima County,AZ,"$1,682,006"
049021,Pinal County,AZ,"$403,762"
049023,Santa Cruz County,AZ,"$115,226"
049025,Yavapai County,AZ,"$227,666"
049027,Yuma County,AZ,"$191,728"
050228,Bentonville,AR,"$41,861"
050600,Conway,AR,"$101,060"
050894,Fayetteville,AR,"$145,733"
050930,Fort Smith,AR,"$199,551"
051302,Hot Springs,AR,"$88,464"
051374,Jacksonville,AR,"$51,795"
051410,Jonesboro,AR,"$142,663"
051560,Little Rock,AR,"$949,483"
051938,North Little Rock,AR,"$142,949"
052130,Pine Bluff,AR,"$135,436"
052304,Rogers,AR,"$96,511"
