Geo Code,City,State,FY 2016 PPRN
010072,Anniston,AL,"$138,183"
010144,Auburn,AL,"$125,306"
010216,Bessemer,AL,"$129,843"
010228,Birmingham,AL,"$3,896,522"
010594,Decatur,AL,"$113,917"
010624,Dothan,AL,"$119,528"
010750,Fairhope,AL,"$17,367"
010810,Florence,AL,"$89,013"
010882,Gadsden,AL,"$243,185"
011206,Hoover,AL,"$79,694"
011218,Huntsville,AL,"$309,057"
011542,Mobile,AL,"$1,581,952"
011560,Montgomery,AL,"$1,147,233"
011740,Opelika,AL,"$59,065"
012268,Tuscaloosa,AL,"$203,716"
019001,Autauga County,AL,"$83,959"
019003,Baldwin County,AL,"$290,289"
019005,Barbour County,AL,"$69,750"
019007,Bibb County,AL,"$47,922"
019009,Blount County,AL,"$98,925"
019011,Bullock County,AL,"$28,151"
019013,Butler County,AL,"$56,560"
019015,Calhoun County,AL,"$167,614"
019017,Chambers County,AL,"$120,564"
019019,Cherokee County,AL,"$61,190"
019021,Chilton County,AL,"$93,504"
019023,Choctaw County,AL,"$35,859"
019025,Clarke County,AL,"$80,330"
019027,Clay County,AL,"$45,512"
019029,Cleburne County,AL,"$38,869"
019031,Coffee County,AL,"$82,412"
019033,Colbert County,AL,"$116,313"
019035,Conecuh County,AL,"$50,679"
019037,Coosa County,AL,"$32,722"
019039,Covington County,AL,"$106,332"
019041,Crenshaw County,AL,"$36,073"
019043,Cullman County,AL,"$177,841"
019045,Dale County,AL,"$85,458"
019047,Dallas County,AL,"$164,816"
019049,Dekalb County,AL,"$172,589"
019051,Elmore County,AL,"$119,544"
019053,Escambia County,AL,"$75,245"
019055,Etowah County,AL,"$108,108"
019057,Fayette County,AL,"$40,481"
019059,Franklin County,AL,"$76,263"
019061,Geneva County,AL,"$70,637"
019063,Greene County,AL,"$26,832"
019065,Hale County,AL,"$39,023"
019067,Henry County,AL,"$40,984"
019069,Houston County,AL,"$61,421"
019071,Jackson County,AL,"$103,568"
019073,Jefferson County,AL,"$1,249,903"
019075,Lamar County,AL,"$35,666"
019077,Lauderdale County,AL,"$82,148"
019079,Lawrence County,AL,"$60,173"
019081,Lee County,AL,"$101,786"
019083,Limestone County,AL,"$141,834"
019085,Lowndes County,AL,"$31,789"
019087,Macon County,AL,"$47,565"
019089,Madison County,AL,"$171,011"
019091,Marengo County,AL,"$54,745"
019093,Marion County,AL,"$64,271"
019095,Marshall County,AL,"$204,704"
019097,Mobile County,AL,"$1,090,919"
019099,Monroe County,AL,"$55,925"
019101,Montgomery County,AL,"$32,989"
019103,Morgan County,AL,"$95,806"
019105,Perry County,AL,"$39,651"
019107,Pickens County,AL,"$51,795"
019109,Pike County,AL,"$77,414"
019111,Randolph County,AL,"$70,580"
019113,Russell County,AL,"$120,698"
019115,St. Clair County,AL,"$140,622"
019117,Shelby County,AL,"$211,818"
019119,Sumter County,AL,"$42,477"
019121,Talladega County,AL,"$180,330"
019123,Tallapoosa County,AL,"$95,644"
019125,Tuscaloosa County,AL,"$161,190"
019127,Walker County,AL,"$140,395"
019129,Washington County,AL,"$31,427"
019131,Wilcox County,AL,"$35,341"
019133,Winston County,AL,"$58,096"
020078,Anchorage,AK,"$1,169,576"
029013,Aleutians East Borough,AK,"$4,162"
029016,Aleutians West Census Area,AK,"$12,358"
029050,Bethel Census Area,AK,"$45,848"
029060,Bristol Bay Borough,AK,"$1,613"
029068,Denali Borough,AK,"$3,751"
029070,Dillingham Census Area,AK,"$9,765"
029090,Fairbanks North Star Borough,AK,"$96,351"
029100,Haines Borough,AK,"$4,278"
029105,Hoonah-Angoon Census Area,AK,"$10,278"
029110,Juneau City And Borough,AK,"$70,496"
