Geo Code,State,Name,FY 2017 PPRN,
010072,AL,Anniston,,"$140,154"
010144,AL,Auburn,,"$134,955"
010216,AL,Bessemer,,"$139,009"
010228,AL,Birmingham,,"$4,022,189"
010594,AL,Decatur,,"$114,437"
010624,AL,Dothan,,"$119,660"
010750,AL,Fairhope,,"$18,503"
010810,AL,Florence,,"$84,406"
010882,AL,Gadsden,,"$255,550"
011206,AL,Hoover,,$0
011218,AL,Huntsville,,"$317,211"
011542,AL,Mobile,,"$1,647,178"
011560,AL,Montgomery,,"$1,173,878"
011740,AL,Opelika,,"$60,864"
012268,AL,Tuscaloosa,,"$202,894"
019001,AL,Autauga County,,"$89,016"
019003,AL,Baldwin County,,"$302,140"
019005,AL,Barbour County,"$75,341"
019007,AL,Bibb County,"$49,239"
019009,AL,Blount County,"$96,741"
019011,AL,Bullock County,"$29,973"
019013,AL,Butler County,"$64,856"
019015,AL,Calhoun County,"$169,744"
019017,AL,Chambers County,"$130,183"
019019,AL,Cherokee County,"$65,004"
019021,AL,Chilton County,"$104,505"
019023,AL,Choctaw County,"$34,215"
019025,AL,Clarke County,"$73,466"
019027,AL,Clay County,"$43,565"
019029,AL,Cleburne County,"$40,702"
019031,AL,Coffee County,"$88,610"
019033,AL,Colbert County,"$128,045"
019035,AL,Conecuh County,"$57,831"
019037,AL,Coosa County,"$32,280"
019039,AL,Covington County,"$106,643"
019041,AL,Crenshaw County,"$38,293"
019043,AL,Cullman County,"$175,447"
019045,AL,Dale County,"$93,164"
019047,AL,Dallas County,"$172,810"
019049,AL,Dekalb County,"$165,391"
019051,AL,Elmore County,"$121,053"
019053,AL,Escambia County,"$77,526"
019055,AL,Etowah County,"$115,537"
019057,AL,Fayette County,"$41,798"
019059,AL,Franklin County,"$82,072"
019061,AL,Geneva County,"$70,836"
019063,AL,Greene County,"$28,294"
019065,AL,Hale County,"$39,605"
019067,AL,Henry County,"$42,558"
019069,AL,Houston County,"$65,398"
019071,AL,Jackson County,"$98,338"
019073,AL,Jefferson County,"$1,540,554"
019075,AL,Lamar County,"$39,033"
019077,AL,Lauderdale County,"$82,587"
019079,AL,Lawrence County,"$64,806"
019081,AL,Lee County,"$106,483"
019083,AL,Limestone County,"$147,368"
019085,AL,Lowndes County,"$31,828"
019087,AL,Macon County,"$52,441"
019089,AL,Madison County,"$181,455"
019091,AL,Marengo County,"$58,746"
019093,AL,Marion County,"$68,490"
019095,AL,Marshall County,"$210,524"
019097,AL,Mobile County,"$1,080,532"
019099,AL,Monroe County,"$52,631"
019101,AL,Montgomery County,"$34,314"
019103,AL,Morgan County,"$99,853"
019105,AL,Perry County,"$40,762"
019107,AL,Pickens County,"$54,169"
019109,AL,Pike County,"$81,065"
019111,AL,Randolph County,"$75,122"
019113,AL,Russell County,"$125,506"
019115,AL,St. Clair County,"$148,694"
019117,AL,Shelby County,"$228,886"
019119,AL,Sumter County,"$42,366"
019121,AL,Talladega County,"$186,335"
019123,AL,Tallapoosa County,"$108,439"
019125,AL,Tuscaloosa County,"$172,375"
019127,AL,Walker County,"$142,086"
019129,AL,Washington County,"$32,448"
019131,AL,Wilcox County,"$36,347"
019133,AL,Winston County,"$59,736"
020078,AK,Anchorage,"$1,210,110"
029013,AK,Aleutians East Borough,"$4,487"
029016,AK,Aleutians West Census Area,"$12,401"
029050,AK,Bethel Census Area,"$49,163"
029060,AK,Bristol Bay Borough,"$2,542"
029068,AK,Denali Borough,"$2,834"
029070,AK,Dillingham Census Area,"$10,326"
029090,AK,Fairbanks North Star Borough,"$102,305"
029100,AK,Haines Borough,"$5,259"
029105,AK,Hoonah-Angoon Census Area,"$9,745"
029110,AK,Juneau City And Borough,"$76,385"
029122,AK,Kenai Peninsula Borough,"$59,199"
029130,AK,Ketchikan Gateway Borough,"$45,088"
029150,AK,Kodiak Island Borough,"$18,000"
029164,AK,Lake And Peninsula Borough,"$3,227"
029170,AK,Matanuska-Susitna Borough,"$107,521"
029180,AK,Nome Census Area,"$28,171"
029185,AK,North Slope Borough,"$14,831"
029188,AK,Northwest Arctic Borough,"$22,101"
029195,AK,Petersburg Borough,"$15,310"
029198,AK,Prince Of Wales-Hyder Census Area,"$12,470"
029220,AK,Sitka City And Borough,"$16,743"
029230,AK,Skagway Municipality,"$6,200"
029240,AK,Southeast Fairbanks Census Area,"$10,229"
029261,AK,Valdez-Cordova Census Area,"$16,738"
029270,AK,Wade Hampton Census Area,"$28,768"
029275,AK,Wrangell City And Borough,"$12,921"
029282,AK,Yakutat City And Borough,$654
029290,AK,Yukon-Koyukuk Census Area,"$13,678"
040018,AZ,Avondale City,"$158,616"
040054,AZ,Casa Grande,"$88,121"
040072,AZ,Chandler,"$354,676"
040114,AZ,Douglas City,"$45,828"
040144,AZ,Flagstaff,"$165,527"
040180,AZ,Gilbert,"$236,593"
040186,AZ,Glendale,"$1,658,113"
040270,AZ,Mesa,"$2,429,420"
040324,AZ,Peoria City,"$213,667"
