Code,State,NAME,PPRN
29230,AK,Skagway Municipality,"$7,794 "
10072,AL,Anniston,"$147,705 "
10144,AL,Auburn,"$158,314 "
10216,AL,Bessemer,"$152,964 "
10228,AL,Birmingham,"$4,310,220 "
10594,AL,Decatur,"$129,983 "
10624,AL,Dothan,"$125,723 "
10750,AL,Fairhope,"$25,413 "
10810,AL,Florence,"$89,387 "
10882,AL,Gadsden,"$275,830 "
11218,AL,Huntsville,"$357,437 "
11542,AL,Mobile,"$1,720,050 "
11560,AL,Montgomery,"$1,287,119 "
11740,AL,Opelika,"$68,792 "
12268,AL,Tuscaloosa,"$209,053 "
19001,AL,Autauga County,"$101,818 "
19003,AL,Baldwin County,"$277,478 "
19005,AL,Barbour County,"$70,902 "
19007,AL,Bibb County,"$47,343 "
19009,AL,Blount County,"$107,302 "
19011,AL,Bullock County,"$35,948 "
19013,AL,Butler County,"$65,990 "
19015,AL,Calhoun County,"$178,049 "
19017,AL,Chambers County,"$130,484 "
19019,AL,Cherokee County,"$59,641 "
19021,AL,Chilton County,"$102,866 "
19023,AL,Choctaw County,"$29,352 "
19025,AL,Clarke County,"$59,304 "
19027,AL,Clay County,"$43,549 "
19029,AL,Cleburne County,"$38,859 "
19031,AL,Coffee County,"$92,911 "
19033,AL,Colbert County,"$139,636 "
19035,AL,Conecuh County,"$56,064 "
19037,AL,Coosa County,"$28,935 "
19039,AL,Covington County,"$118,289 "
19041,AL,Crenshaw County,"$42,757 "
19043,AL,Cullman County,"$170,523 "
19045,AL,Dale County,"$96,143 "
19047,AL,Dallas County,"$168,917 "
19049,AL,DeKalb County,"$166,230 "
19051,AL,Elmore County,"$133,485 "
19053,AL,Escambia County,"$82,760 "
19055,AL,Etowah County,"$141,006 "
19057,AL,Fayette County,"$44,629 "
19059,AL,Franklin County,"$83,973 "
19061,AL,Geneva County,"$66,804 "
19063,AL,Greene County,"$31,987 "
19065,AL,Hale County,"$41,650 "
19067,AL,Henry County,"$47,610 "
19069,AL,Houston County,"$68,046 "
19071,AL,Jackson County,"$97,979 "
19073,AL,Jefferson County,"$1,726,273 "
19075,AL,Lamar County,"$35,698 "
19077,AL,Lauderdale County,"$91,423 "
19079,AL,Lawrence County,"$65,575 "
19081,AL,Lee County,"$121,898 "
19083,AL,Limestone County,"$155,175 "
19085,AL,Lowndes County,"$27,709 "
19087,AL,Macon County,"$60,448 "
19089,AL,Madison County,"$199,948 "
19091,AL,Marengo County,"$57,041 "
19093,AL,Marion County,"$73,673 "
19095,AL,Marshall County,"$225,991 "
19097,AL,Mobile County,"$1,087,945 "
19099,AL,Monroe County,"$55,208 "
19101,AL,Montgomery County,"$37,317 "
19103,AL,Morgan County,"$100,319 "
19105,AL,Perry County,"$42,990 "
19107,AL,Pickens County,"$53,202 "
19109,AL,Pike County,"$85,523 "
19111,AL,Randolph County,"$76,083 "
19113,AL,Russell County,"$144,486 "
19115,AL,St. Clair County,"$148,419 "
19117,AL,Shelby County,"$250,075 "
19119,AL,Sumter County,"$42,134 "
19121,AL,Talladega County,"$194,622 "
19123,AL,Tallapoosa County,"$117,843 "
19125,AL,Tuscaloosa County,"$191,263 "
19127,AL,Walker County,"$152,792 "
19129,AL,Washington County,"$39,089 "
19131,AL,Wilcox County,"$34,533 "
19133,AL,Winston County,"$52,065 "
20078,AK,Anchorage,"$1,264,986 "
29013,AK,Aleutians East Borough,"$5,111 "
29016,AK,Aleutians West Census Area,"$7,520 "
29050,AK,Bethel Census Area,"$55,901 "
29060,AK,Bristol Bay Borough,"$3,986 "
29068,AK,Denali Borough,"$3,154 "
29070,AK,Dillingham Census Area,"$11,306 "
29090,AK,"Fairbanks North StarBorough","$108,901 "
29100,AK,Haines Borough,"$6,657 "
29105,AK,"Hoonah-Angoon CensusArea","$11,726 "
29110,AK,Juneau City and Borough,"$76,999 "
29122,AK,Kenai Peninsula Borough,"$68,317 "
29130,AK,Ketchikan Gateway Borough,"$56,884 "
29150,AK,Kodiak Island Borough,"$20,114 "
29158,AK,Kusilvak Census Area,"$31,424 "
29164,AK,Lake and Peninsula Borough,"$3,567 "
29170,AK,Matanuska-Susitna Borough,"$121,299 "
29180,AK,Nome Census Area,"$31,547 "
29185,AK,North Slope Borough,"$17,599 "
29188,AK,Northwest Arctic Borough,"$24,229 "
29195,AK,Petersburg Borough,"$20,120 "
29198,AK,"Prince of Wales-HyderCensus Area","$12,260 "
29220,AK,Sitka City and Borough,"$18,051 "
29240,AK,"Southeast Fairbanks CensusArea","$11,487 "
29261,AK,Valdez-Cordova Census Area,"$26,405 "
29275,AK,Wrangell City and Borough,"$15,272 "
29282,AK,Yakutat City and Borough,$932 
29290,AK,Yukon-Koyukuk Census Area,"$13,776 "
40018,AZ,Avondale City,"$193,962 "
40054,AZ,Casa Grande,"$97,787 "
40072,AZ,Chandler,"$389,611 "
40114,AZ,Douglas City,"$42,617 "
40144,AZ,Flagstaff,"$166,721 "
40180,AZ,Gilbert,"$254,174 "
40186,AZ,Glendale,"$1,813,978 "
40270,AZ,Mesa,"$2,663,846 "
40324,AZ,Peoria City,"$228,192 "
40330,AZ,Phoenix,"$12,021,111 "
40348,AZ,Prescott,"$69,194 "
40384,AZ,Scottsdale,"$306,155 "
40408,AZ,Sierra Vista City,"$69,897 "
40456,AZ,Surprise City,"$178,897 "
40468,AZ,Tempe,"$429,243 "
40492,AZ,Tucson,"$4,044,603 "
40558,AZ,Yuma,"$230,365 "
49001,AZ,Apache County,"$241,933 "
49003,AZ,Cochise County,"$342,886 "
49005,AZ,Coconino County,"$171,422 "
49007,AZ,Gila County,"$236,802 "
49009,AZ,Graham County,"$100,581 "
49011,AZ,Greenlee County,"$56,665 "
49012,AZ,La Paz County,"$44,613 "
49013,AZ,Maricopa County,"$2,175,108 "
49015,AZ,Mohave County,"$370,597 "
49017,AZ,Navajo County,"$299,573 "
49019,AZ,Pima County,"$2,128,128 "
49021,AZ,Pinal County,"$568,647 "
49023,AZ,Santa Cruz County,"$142,402 "
49025,AZ,Yavapai County,"$315,038 "
49027,AZ,Yuma County,"$253,718 "
50600,AR,Conway,"$124,683 "
50894,AR,Fayetteville,"$179,378 "
50930,AR,Fort Smith,"$226,416 "
51302,AR,Hot Springs,"$122,380 "
51374,AR,Jacksonville,"$59,913 "
51410,AR,Jonesboro,"$166,880 "
51560,AR,Little Rock,"$992,103 "
51938,AR,North Little Rock,"$170,860 "
52130,AR,Pine Bluff,"$174,359 "
52304,AR,Rogers,"$123,157 "
52466,AR,Springdale,"$233,147 "
52556,AR,Texarkana,"$66,920 "
52754,AR,West Memphis,"$77,909 "
59001,AR,Arkansas County,"$52,176 "
59003,AR,Ashley County,"$44,358 "
59005,AR,Baxter County,"$76,319 "
59007,AR,Benton County,"$286,666 "
59009,AR,Boone County,"$112,755 "
59011,AR,Bradley County,"$35,741 "
59013,AR,Calhoun County,"$15,992 "
59015,AR,Carroll County,"$111,956 "
59017,AR,Chicot County,"$33,416 "
59019,AR,Clark County,"$60,952 "
59021,AR,Clay County,"$45,457 "
59023,AR,Cleburne County,"$47,473 "
59025,AR,Cleveland County,"$20,545 "
59027,AR,Columbia County,"$74,588 "
59029,AR,Conway County,"$58,164 "
59031,AR,Craighead County,"$46,990 "
59033,AR,Crawford County,"$155,099 "
59035,AR,Crittenden County,"$58,638 "
59037,AR,Cross County,"$39,020 "
59039,AR,Dallas County,"$27,103 "
59041,AR,Desha County,"$39,227 "
59043,AR,Drew County,"$48,322 "
59045,AR,Faulkner County,"$88,803 "
59047,AR,Franklin County,"$45,372 "
59049,AR,Fulton County,"$35,869 "
59051,AR,Garland County,"$124,418 "
59053,AR,Grant County,"$27,023 "
59055,AR,Greene County,"$98,859 "
59057,AR,Hempstead County,"$75,936 "
59059,AR,Hot Spring County,"$62,421 "
59061,AR,Howard County,"$35,695 "
59063,AR,Independence County,"$88,398 "
59065,AR,Izard County,"$38,900 "
59067,AR,Jackson County,"$43,425 "
59069,AR,Jefferson County,"$47,720 "
59071,AR,Johnson County,"$74,578 "
59073,AR,Lafayette County,"$28,605 "
59075,AR,Lawrence County,"$43,460 "
59077,AR,Lee County,"$26,569 "
59079,AR,Lincoln County,"$26,904 "
59081,AR,Little River County,"$26,696 "
59083,AR,Logan County,"$65,817 "
59085,AR,Lonoke County,"$119,413 "
59087,AR,Madison County,"$42,139 "
59089,AR,Marion County,"$40,516 "
59091,AR,Miller County,"$28,968 "
59093,AR,Mississippi County,"$117,115 "
59095,AR,Monroe County,"$27,469 "
59097,AR,Montgomery County,"$30,703 "
59099,AR,Nevada County,"$31,053 "
59101,AR,Newton County,"$32,567 "
59103,AR,Ouachita County,"$67,095 "
59105,AR,Perry County,"$23,682 "
59107,AR,Phillips County,"$64,717 "
59109,AR,Pike County,"$28,435 "
59111,AR,Poinsett County,"$66,541 "
59113,AR,Polk County,"$60,198 "
59115,AR,Pope County,"$141,079 "
59117,AR,Prairie County,"$29,293 "
59119,AR,Pulaski County,"$143,254 "
59121,AR,Randolph County,"$41,719 "
59123,AR,St. Francis County,"$59,233 "
59125,AR,Saline County,"$165,811 "
59127,AR,Scott County,"$25,741 "
59129,AR,Searcy County,"$31,547 "
59131,AR,Sebastian County,"$73,094 "
59133,AR,Sevier County,"$48,359 "
59135,AR,Sharp County,"$48,213 "
59137,AR,Stone County,"$30,011 "
59139,AR,Union County,"$112,906 "
59141,AR,Van Buren County,"$44,140 "
59143,AR,Washington County,"$137,757 "
59145,AR,White County,"$156,808 "
59147,AR,Woodruff County,"$20,170 "
59149,AR,Yell County,"$57,755 "
60012,CA,Alameda,"$302,335 "
60030,CA,Alhambra,"$262,913 "
60032,CA,Aliso Viejo,"$63,393 "
60078,CA,Anaheim,"$3,121,056 "
60102,CA,Antioch,"$225,783 "
60108,CA,Apple Valley,"$167,581 "
60228,CA,Bakersfield,"$2,666,347 "
60234,CA,Baldwin Park,"$268,057 "
60288,CA,Bellflower,"$278,498 "
60324,CA,Berkeley,"$1,964,035 "
60450,CA,Buena Park,"$209,659 "
60456,CA,Burbank,"$278,376 "
60516,CA,Camarillo,"$83,191 "
60564,CA,Carlsbad,"$152,479 "
60594,CA,Carson,"$218,581 "
60624,CA,Cathedral City,"$164,585 "
60654,CA,Cerritos,"$63,919 "
60684,CA,Chico,"$222,798 "
60708,CA,Chino,"$137,863 "
60709,CA,Chino Hills,"$100,661 "
60720,CA,Chula Vista,"$1,677,635 "
60726,CA,Citrus Heights,"$186,806 "
60756,CA,Clovis City,"$199,773 "
60804,CA,Compton,"$1,153,622 "
60810,CA,Concord,"$281,538 "
60828,CA,Corona,"$325,904 "
60846,CA,Costa Mesa,"$293,490 "
60906,CA,Cupertino City,"$96,967 "
60930,CA,Daly City,"$283,642 "
60942,CA,Davis,"$180,297 "
60960,CA,Delano City,"$175,119 "
61032,CA,Downey,"$287,044 "
61116,CA,El Cajon,"$350,817 "
61122,CA,El Centro,"$144,345 "
61146,CA,Elk Grove,"$255,820 "
61152,CA,El Monte,"$1,267,542 "
61212,CA,Encinitas,"$89,284 "
61230,CA,Escondido,"$1,312,909 "
61266,CA,Fairfield,"$224,653 "
61332,CA,Fontana,"$1,531,184 "
61380,CA,Fountain Valley,"$91,267 "
61404,CA,Fremont,"$382,341 "
61410,CA,Fresno,"$5,060,098 "
61416,CA,Fullerton,"$387,764 "
61428,CA,Gardena,"$178,646 "
61440,CA,Garden Grove,"$1,535,077 "
61452,CA,Gilroy City,"$133,107 "
61464,CA,Glendale,"$1,357,666 "
61470,CA,Glendora City,"$75,069 "
61476,CA,Goleta,"$58,019 "
61566,CA,Hanford,"$160,768 "
61596,CA,Hawthorne,"$348,000 "
61602,CA,Hayward,"$406,905 "
61614,CA,Hemet,"$233,588 "
61638,CA,Hesperia,"$277,060 "
61692,CA,Huntington Beach,"$309,914 "
61698,CA,Huntington Park,"$935,211 "
61728,CA,Indio City,"$233,216 "
61740,CA,Inglewood,"$1,097,778 "
61750,CA,Irvine,"$455,453 "
61783,CA,Jurupa Valley,"$318,957 "
61854,CA,Laguna Niguel,"$86,486 "
61860,CA,La Habra,"$198,922 "
61869,CA,Lake Forest,"$128,465 "
61870,CA,Lake Elsinore,"$139,640 "
61890,CA,Lakewood,"$142,803 "
61896,CA,La Mesa,"$105,954 "
61914,CA,Lancaster,"$387,084 "
62034,CA,Livermore,"$123,115 "
62046,CA,Lodi,"$170,689 "
62064,CA,Lompoc,"$127,382 "
62088,CA,Long Beach,"$4,470,188 "
62118,CA,Los Angeles,"$39,319,812 "
62148,CA,Lynwood,"$339,259 "
62166,CA,Madera,"$233,855 "
62240,CA,Menifee,"$147,782 "
62250,CA,Merced,"$302,693 "
62274,CA,Milpitas City,"$139,761 "
62286,CA,Mission Viejo,"$110,862 "
62292,CA,Modesto,"$1,468,487 "
62328,CA,Montebello,"$179,532 "
62334,CA,Monterey,"$64,302 "
62340,CA,Monterey Park,"$187,164 "
62367,CA,Moreno Valley,"$1,539,238 "
62382,CA,Mountain View,"$143,831 "
62406,CA,Napa City,"$165,503 "
62412,CA,National City,"$219,233 "
62454,CA,Newport Beach,"$96,121 "
62490,CA,Norwalk,"$327,112 "
62508,CA,Oakland,"$5,558,267 "
62532,CA,Oceanside,"$1,022,214 "
62556,CA,Ontario,"$1,355,298 "
62568,CA,Orange,"$333,043 "
62622,CA,Oxnard,"$1,834,164 "
62658,CA,Palmdale,"$429,418 "
62670,CA,Palm Desert,"$94,961 "
62676,CA,Palm Springs,"$112,926 "
62682,CA,Palo Alto,"$130,009 "
62700,CA,Paradise,"$48,869 "
62706,CA,Paramount City,"$233,873 "
62724,CA,Pasadena,"$1,454,738 "
62754,CA,Perris City,"$256,480 "
62760,CA,Petaluma,"$91,933 "
62766,CA,Pico Rivera,"$181,133 "
62790,CA,Pittsburg,"$177,763 "
62802,CA,Placentia,"$114,924 "
62826,CA,Pleasanton City,"$85,488 "
62850,CA,Pomona,"$1,588,291 "
62862,CA,Porterville,"$202,849 "
62928,CA,Rancho Cordova City,"$157,166 "
62930,CA,Rancho Cucamonga,"$257,639 "
62949,CA,Rancho Santa Margarita,"$56,267 "
62958,CA,Redding,"$190,980 "
62970,CA,Redondo Beach,"$72,871 "
62976,CA,Redwood City,"$191,889 "
62988,CA,Rialto,"$325,534 "
63048,CA,Riverside,"$2,405,048 "
63054,CA,Rocklin City,"$77,825 "
63102,CA,Rosemead,"$190,052 "
63108,CA,Roseville,"$177,318 "
63144,CA,Sacramento,"$3,564,853 "
63162,CA,Salinas,"$1,534,432 "
63180,CA,San Bernardino,"$2,474,795 "
63198,CA,San Clemente,"$93,906 "
63210,CA,San Diego,"$8,687,124 "
63228,CA,San Francisco,"$13,293,659 "
63258,CA,San Jose,"$6,542,544 "
63276,CA,San Leandro,"$191,711 "
63294,CA,San Marcos City,"$187,278 "
63312,CA,San Mateo,"$195,618 "
63342,CA,Santa Ana,"$4,263,066 "
63348,CA,Santa Barbara,"$243,095 "
63354,CA,Santa Clara,"$259,831 "
63356,CA,Santa Clarita,"$325,082 "
63360,CA,Santa Cruz,"$145,637 "
63372,CA,Santa Maria,"$419,624 "
63384,CA,Santa Monica,"$308,059 "
63396,CA,Santa Rosa,"$382,516 "
63408,CA,Santee,"$74,920 "
63444,CA,Seaside,"$98,046 "
63480,CA,Simi Valley,"$163,684 "
63528,CA,South Gate,"$1,067,160 "
63564,CA,South San Francisco,"$126,441 "
63624,CA,Stockton,"$2,529,686 "
63660,CA,Sunnyvale,"$297,088 "
63712,CA,Temecula,"$146,664 "
63732,CA,Thousand Oaks,"$155,598 "
63744,CA,Torrance,"$254,854 "
63768,CA,Tulare,"$174,215 "
63798,CA,Turlock,"$175,404 "
63804,CA,Tustin,"$222,768 "
63846,CA,Union City,"$138,159 "
63852,CA,Upland,"$164,319 "
63858,CA,Vacaville,"$137,203 "
63876,CA,Vallejo,"$274,026 "
63888,CA,San Buenaventura,"$205,279 "
63900,CA,Victorville,"$354,735 "
63918,CA,Visalia,"$351,119 "
63924,CA,Vista,"$255,653 "
63942,CA,Walnut Creek,"$77,013 "
63966,CA,Watsonville,"$206,094 "
64002,CA,West Covina,"$205,509 "
64014,CA,Westminster,"$275,619 "
64050,CA,West Sacramento,"$119,734 "
64074,CA,Whittier,"$210,010 "
64134,CA,Woodland,"$135,242 "
64158,CA,Yorba Linda,"$59,599 "
64176,CA,Yuba City,"$174,305 "
69001,CA,Alameda County,"$1,467,363 "
69003,CA,Alpine County,"$5,496 "
69005,CA,Amador County,"$124,184 "
69007,CA,Butte County,"$346,020 "
69009,CA,Calaveras County,"$113,238 "
69011,CA,Colusa County,"$77,248 "
69013,CA,Contra Costa County,"$3,408,709 "
69015,CA,Del Norte County,"$76,701 "
69017,CA,El Dorado County,"$344,537 "
69019,CA,Fresno County,"$2,068,267 "
69021,CA,Glenn County,"$95,642 "
69023,CA,Humboldt County,"$658,532 "
69025,CA,Imperial County,"$467,401 "
69027,CA,Inyo County,"$53,734 "
69029,CA,Kern County,"$3,535,506 "
69031,CA,Kings County,"$310,176 "
69033,CA,Lake County,"$209,334 "
69035,CA,Lassen County,"$102,762 "
69037,CA,Los Angeles County,"$16,299,117 "
69039,CA,Madera County,"$281,061 "
69041,CA,Marin County,"$400,442 "
69043,CA,Mariposa County,"$65,427 "
69045,CA,Mendocino County,"$344,560 "
69047,CA,Merced County,"$661,948 "
69049,CA,Modoc County,"$67,922 "
69051,CA,Mono County,"$39,514 "
69053,CA,Monterey County,"$373,905 "
69055,CA,Napa County,"$171,995 "
69057,CA,Nevada County,"$281,740 "
69059,CA,Orange County,"$1,907,253 "
69061,CA,Placer County,"$365,722 "
69063,CA,Plumas County,"$90,460 "
69065,CA,Riverside County,"$5,297,439 "
69067,CA,Sacramento County,"$4,187,601 "
69069,CA,San Benito County,"$154,553 "
69071,CA,San Bernardino County,"$5,276,218 "
69073,CA,San Diego County,"$3,037,216 "
69077,CA,San Joaquin County,"$1,967,579 "
69079,CA,San Luis Obispo County,"$1,401,963 "
69081,CA,San Mateo County,"$1,910,294 "
69083,CA,Santa Barbara County,"$872,318 "
69085,CA,Santa Clara County,"$1,117,906 "
69087,CA,Santa Cruz County,"$443,579 "
69089,CA,Shasta County,"$219,005 "
69091,CA,Sierra County,"$30,082 "
69093,CA,Siskiyou County,"$242,874 "
