KEY,CNSRTKEY,NAME,STA,CDBG19,HOME19,ESG19,HOPWA19,HTF19
029999,,Alaska Nonentitlement,AK,3017702,"$3,005,732",250712,$0,"$3,000,000"
040018,,Avondale City,AZ,695530,$0,0,$0,$0
040054,,Casa Grande,AZ,415071,$0,0,$0,$0
040072,,Chandler,AZ,1369267,$0,0,$0,$0
040114,,Douglas city,AZ,173759,$0,0,$0,$0
040144,,Flagstaff,AZ,616928,$0,0,$0,$0
040180,,Gilbert,AZ,924318,$0,0,$0,$0
040186,,Glendale,AZ,2473509,$0,210024,$0,$0
040270,,Mesa,AZ,3729487,"$1,356,261",308423,$0,$0
040324,,Peoria City,AZ,840498,$0,0,$0,$0
040330,,Phoenix,AZ,16422095,"$5,522,414",1391815,"$2,687,294",$0
040348,,Prescott,AZ,244622,$0,0,$0,$0
040384,,Scottsdale,AZ,1161843,$0,0,$0,$0
040408,,Sierra Vista city,AZ,271174,$0,0,$0,$0
040456,,Surprise City,AZ,671119,$0,0,$0,$0
040468,,Tempe,AZ,1670893,$0,0,$0,$0
040492,04C040,Tucson,AZ,5504357,"$3,263,501",468288,"$665,871",$0
010072,01C983,Anniston,AL,556454,"$390,089",0,$0,$0
010144,,Auburn,AL,592783,$0,0,$0,$0
010216,,Bessemer,AL,577199,$0,0,$0,$0
010228,,Birmingham,AL,5870169,"$1,313,336",499041,"$1,365,496",$0
010594,,Decatur,AL,470681,$0,0,$0,$0
010624,,Dothan,AL,485750,$0,0,$0,$0
010750,,Fairhope,AL,93529,$0,0,$0,$0
010810,,Florence,AL,343768,$0,0,$0,$0
010882,,Gadsden,AL,1019805,$0,0,$0,$0
011218,,Huntsville,AL,1303425,"$604,151",0,$0,$0
011542,,Mobile,AL,2375186,"$786,672",199149,$0,$0
011560,,Montgomery,AL,1665597,"$859,076",149024,$0,$0
011740,,Opelika,AL,255632,$0,0,$0,$0
012268,,Tuscaloosa,AL,783595,"$398,063",0,$0,$0
019073,,Jefferson County,AL,2330492,"$932,378",199869,$0,$0
019097,,Mobile County,AL,1518243,"$536,837",0,$0,$0
019999,,Alabama Nonentitlement,AL,22938818,"$10,425,124",2639097,"$2,232,232","$3,000,000"
020078,,Anchorage,AK,1720154,"$663,207",146461,$0,$0
040558,04C997,Yuma,AZ,843078,"$977,984",0,$0,$0
049013,04C039,Maricopa County,AZ,2989846,"$4,332,645",251836,$0,$0
049019,,Pima County,AZ,2945544,$0,246397,$0,$0
049021,,Pinal County,AZ,1301489,$0,0,$0,$0
049999,,Arizona Nonentitlement,AZ,10108167,"$5,607,336",1835776,"$349,656","$3,801,428"
050600,,Conway,AR,472390,$0,0,$0,$0
050894,,Fayetteville,AR,702439,$0,0,$0,$0
050930,,Fort Smith,AR,868033,"$419,704",0,$0,$0
051302,,Hot Springs,AR,451010,$0,0,$0,$0
051374,,Jacksonville,AR,206559,$0,0,$0,$0
051410,,Jonesboro,AR,604085,$0,0,$0,$0
051560,,Little Rock,AR,1451550,"$622,121",0,"$495,457",$0
051938,,North Little Rock,AR,666055,"$279,664",0,$0,$0
052130,,Pine Bluff,AR,668843,"$229,099",0,$0,$0
052304,,Rogers,AR,459576,$0,0,$0,$0
052466,,Springdale,AR,812275,$0,0,$0,$0
052556,,Texarkana,AR,249638,$0,0,$0,$0
052754,,West Memphis,AR,299368,$0,0,$0,$0
059999,,Arkansas Nonentitlement,AR,17853442,"$8,975,719",2162085,"$815,150","$3,000,000"
060012,,Alameda,CA,1122143,$0,0,$0,$0
060030,,Alhambra,CA,978673,"$529,955",0,$0,$0
060032,,Aliso Viejo,CA,219032,$0,0,$0,$0
060078,,Anaheim,CA,4221477,"$1,406,689",361359,"$2,246,413",$0
060102,,Antioch,CA,816027,$0,0,$0,$0
060108,06C226,Apple Valley,CA,625395,"$721,434",0,$0,$0
060228,,Bakersfield,CA,3714311,"$1,399,854",308712,"$560,733",$0
060234,,Baldwin Park,CA,970832,"$287,401",0,$0,$0
060288,,Bellflower,CA,977534,"$358,813",0,$0,$0
060324,,Berkeley,CA,2667120,"$737,273",227398,$0,$0
060450,,Buena Park,CA,797863,$0,0,$0,$0
060456,,Burbank,CA,1030685,"$556,969",0,$0,$0
060516,,Camarillo,CA,311056,$0,0,$0,$0
060564,,Carlsbad,CA,565819,$0,0,$0,$0
060594,,Carson,CA,818689,$0,0,$0,$0
060624,,Cathedral City,CA,607329,$0,0,$0,$0
060684,,Chico,CA,834220,"$491,240",0,$0,$0
060708,,Chino,CA,554114,$0,0,$0,$0
