YEAR,ST,MNI,HPL,TY,HPL2,STA,NAME,MA,CO,MCD,PLACE,RGN,FO,UC,AGL,AS,POP2000,GRLAG,POV2000,POVU2000,OCROWD2000,PRE402000,PCI1999,POP60,POP80A,POP80T,CUBANS,GA,FP,FORMA,CFA,FORMB,CFB,AB,STATEBREAK,PCI1989,PCI89,POVU,POP,POV,OCROWD,AGE,PINC,CDBGFLAG,CDBGKEY,FIPSMCD,MCDFLAG,COUSUB,CENSUSKEY,FIPSKEY,KEY,FLAG,CDBGHPL,CDBGTY,OLDPOP2000,POP90,JOINT,HCUBANS,HAGL,CPL
"2010","01","0000","0000","21","0000",AL,ALABAMA,"00000","000","99999","99999","04","09","0","0","0",4447100.00000,,698097.00000,4334919.00000,,139227.00000,18188.84615,0.00000,3894135.00000,3893888.00000,110.00000,53318579.00000,0.00000,56105046.00000,0.00000,48237630.00000,0.00000,A,ALABAMA,,18188.84615,4334919.00000,4661900.00000,698097.00000,51004.00000,139227.00000,18188.84615,C,,,,,,"01",,,"0000","21",,,,,,
"2010","01","0000","0000","30","0000",AL,"BIRMINGHAM-HOOVER,AL MSA","13820",,,,,,"0","0","0",1052238.00000,,139841.00000,1031000.00000,,37973.00000,20641.93433,0.00000,0.00000,0.00000,0.00000,,,,,,,,ALABAMA,,20641.93433,1031000.00000,1117608.00000,139841.00000,10680.00000,37973.00000,20641.93433,C,,,,,,MSAD0113820,,,"0000","30",,,,,,
"2010","01","0000","0000","30","0000",AL,"MOBILE, AL MSA","33660",,,,,,"0","0","0",399843.00000,,72549.00000,392003.00000,,10250.00000,17177.76727,0.00000,0.00000,0.00000,0.00000,,,,,,,,ALABAMA,,17177.76727,392003.00000,406309.00000,72549.00000,6574.00000,10250.00000,17177.76727,C,,,,,,MSAD0133660,,,"0000","30",,,,,,
"2010","01","0000","0000","30","0000",AL,"MONTGOMERY, AL MSA","33860",,,,,,"0","0","0",346528.00000,,51943.00000,329467.00000,,9466.00000,18659.10056,0.00000,0.00000,0.00000,0.00000,,,,,,,,ALABAMA,,18659.10056,329467.00000,365924.00000,51943.00000,4828.00000,9466.00000,18659.10056,C,,,,,,MSAD0133860,,,"0000","30",,,,,,
"2010","01","0000","0000","30","0000",AL,"TUSCALOOSA, AL MSA","46220",,,,,,"0","0","0",192034.00000,,34555.00000,183219.00000,,4225.00000,18155.30167,0.00000,0.00000,0.00000,0.00000,,,,,,,,ALABAMA,,18155.30167,183219.00000,206765.00000,34555.00000,2471.00000,4225.00000,18155.30167,C,,,,,,MSAD0146220,,,"0000","30",,,,,,
"2010","01","0000","0000","30","0000",AL,"HUNTSVILLE, AL MSA","26620",,,,,,"0","0","0",342376.00000,,36179.00000,332338.00000,,5030.00000,22072.78898,0.00000,0.00000,0.00000,0.00000,,,,,,,,ALABAMA,,22072.78898,332338.00000,395645.00000,36179.00000,2922.00000,5030.00000,22072.78898,C,,,,,,MSAD0126620,,,"0000","30",,,,,,
"2010","01","0000","0000","30","0000",AL,"GADSDEN, AL MSA","23460",,,,,,"0","0","0",103459.00000,,15938.00000,101529.00000,,4824.00000,16783.26777,0.00000,0.00000,0.00000,0.00000,,,,,,,,ALABAMA,,16783.26777,101529.00000,103303.00000,15938.00000,767.00000,4824.00000,16783.26777,C,,,,,,MSAD0123460,,,"0000","30",,,,,,
"2010","01","0000","0000","30","0000",AL,"FLORENCE-MUSCLE SHOALS,A","22520",,,,,,"0","0","0",142950.00000,,20034.00000,140633.00000,,4808.00000,18205.15355,0.00000,0.00000,0.00000,0.00000,,,,,,,,ALABAMA,,18205.15355,140633.00000,143791.00000,20034.00000,844.00000,4808.00000,18205.15355,C,,,,,,MSAD0122520,,,"0000","30",,,,,,
"2010","01","0000","0000","30","0000",AL,"DOTHAN, AL MSA","20020",,,,,,"0","0","0",130861.00000,,21226.00000,129291.00000,,3717.00000,17560.79886,0.00000,0.00000,0.00000,0.00000,,,,,,,,ALABAMA,,17560.79886,129291.00000,140961.00000,21226.00000,1369.00000,3717.00000,17560.79886,C,,,,,,MSAD0120020,,,"0000","30",,,,,,
"2010","01","0000","0000","30","0000",AL,"DECATUR, AL MSA","19460",,,,,,"0","0","0",145867.00000,,18747.00000,144200.00000,,3221.00000,18576.88442,0.00000,0.00000,0.00000,0.00000,,,,,,,,ALABAMA,,18576.88442,144200.00000,150125.00000,18747.00000,1641.00000,3221.00000,18576.88442,C,,,,,,MSAD0119460,,,"0000","30",,,,,,
