"","UOGID","name","my_formula","allocation","formula_diff","pct_diff","rolled_up","pct_diff_rollup"
"1","010228","Birmingham",262198,483935,-221737,-45.82,262198,-45.82
"2","011542","Mobile",140082,196474,-56392,-28.7,140082,-28.7
"3","011560","Montgomery",130640,142483,-11843,-8.31,0,-100
"4","019073","Jefferson County",128744,155235,-26491,-17.07,0,-100
"5","019097","Mobile County",92264,135489,-43225,-31.9,0,-100
"6","019999","Alabama Nonentitlement",1425841,2486800,-1060959,-42.66,1777489,-28.52
"7","020078","Anchorage",412158,145258,266900,183.74,412158,183.74
"8","029999","Alaska Nonentitlement",365957,225884,140073,62.01,365957,62.01
"9","040186","Glendale",212610,189758,22852,12.04,212610,12.04
"10","040270","Mesa",292646,287998,4648,1.61,292646,1.61
"11","040330","Phoenix",1514628,1306316,208312,15.95,1514628,15.95
"12","040492","Tucson",580349,460731,119618,25.96,580349,25.96
"13","049013","Maricopa County",220840,239473,-18633,-7.78,220840,-7.78
"14","049019","Pima County",246510,233372,13138,5.63,246510,5.63
"15","049999","Arizona Nonentitlement",1625151,1685724,-60573,-3.59,1625151,-3.59
"16","059999","Arkansas Nonentitlement",1490189,2081178,-590989,-28.4,1490189,-28.4
"17","060078","Anaheim",719631,380081,339550,89.34,719631,89.34
"18","060228","Bakersfield",233452,287896,-54444,-18.91,233452,-18.91
"19","060324","Berkeley",291672,220578,71094,32.23,291672,32.23
"20","060720","Chula Vista",344221,159265,184956,116.13,344221,116.13
"21","061152","El Monte",442966,155203,287763,185.41,442966,185.41
"22","061230","Escondido",310922,135322,175600,129.76,310922,129.76
"23","061332","Fontana",149338,171346,-22008,-12.84,149338,-12.84
"24","061410","Fresno",631161,565293,65868,11.65,631161,11.65
"25","061440","Garden Grove",277492,174448,103044,59.07,277492,59.07
"26","061464","Glendale",266095,142237,123858,87.08,266095,87.08
"27","062088","Long Beach",1470626,507817,962809,189.6,1470626,189.6
"28","062118","Los Angeles",13819030,4496906,9322124,207.3,13819030,207.3
"29","062292","Modesto",264664,166397,98267,59.06,264664,59.06
"30","062367","Moreno Valley",166456,181852,-15396,-8.47,166456,-8.47
"31","062508","Oakland",1046219,640040,406179,63.46,1046219,63.46
"32","062556","Ontario",145469,160932,-15463,-9.61,145469,-9.61
"33","062622","Oxnard",370862,191905,178957,93.25,370862,93.25
"34","062724","Pasadena",364276,160921,203355,126.37,364276,126.37
"35","062850","Pomona",501897,181083,320814,177.16,501897,177.16
"36","063048","Riverside",275283,269677,5606,2.08,275283,2.08
"37","063144","Sacramento",544151,390322,153829,39.41,544151,39.41
"38","063162","Salinas",710435,178203,532232,298.67,710435,298.67
"39","063180","San Bernardino",310597,282349,28248,10,310597,10
"40","063210","San Diego",2342541,992604,1349937,136,2342541,136
"41","063228","San Francisco",3653265,1484425,2168840,146.11,3653265,146.11
"42","063258","San Jose",2254468,743498,1510970,203.22,2254468,203.22
"43","063342","Santa Ana",820717,489202,331515,67.77,820717,67.77
"44","063624","Stockton",396055,291273,104782,35.97,396055,35.97
"45","069001","Alameda County",248795,145247,103548,71.29,248795,71.29
"46","069013","Contra Costa County",740287,269776,470511,174.41,740287,174.41
"47","069019","Fresno County",260615,282160,-21545,-7.64,260615,-7.64
"48","069029","Kern County",359056,368923,-9867,-2.67,359056,-2.67
"49","069037","Los Angeles County",5021868,1856207,3165661,170.54,5021868,170.54
"50","069059","Orange County",417120,213433,203687,95.43,417120,95.43
"51","069065","Riverside County",547752,649342,-101590,-15.65,547752,-15.65
"52","069067","Sacramento County",603104,456547,146557,32.1,603104,32.1
"53","069071","San Bernardino County",549578,584769,-35191,-6.02,549578,-6.02
"54","069073","San Diego County",676955,326919,350036,107.07,676955,107.07
"55","069077","San Joaquin County",258918,220589,38329,17.38,258918,17.38
"56","069079","San Luis Obispo County",622475,148084,474391,320.35,622475,320.35
"57","069081","San Mateo County",456977,213481,243496,114.06,456977,114.06
"58","069083","Santa Barbara County",532152,142614,389538,273.14,532152,273.14
"59","069097","Sonoma County",664519,148183,516336,348.44,664519,348.44
"60","069099","Stanislaus County",284766,197836,86930,43.94,284766,43.94
"61","069999","California Nonentitlement",20141816,11827536,8314280,70.3,20141816,70.3
